ProductID,EntityId,LineofBusinessCode,AdhocFlag,SortOrder
"USTR4079","USTR128","USTR","N",1
"USTR4079","USTR128","USTR","N",2
"USTR4084","USTR130","USTR","N",1
"USTR4084","USTR130","USTR","N",2
"USTR4089","USTR131","USTR","N",1
"USTR4089","USTR131","USTR","N",2
"USTR4090","USTR132","USTR","N",1
"USTR4090","USTR132","USTR","N",2
"USTR4091","USTR133","USTR","N",1
"USTR4091","USTR133","USTR","N",2
"USTR4115","USTR134","USTR","N",1
"USTR4115","USTR134","USTR","N",2
"USTR4142","USTR135","USTR","N",1
"USTR4142","USTR135","USTR","N",2
"USTR4264","USTR142","USTR","N",1
"USTR4264","USTR142","USTR","N",2
"USTR4265","USTR141","USTR","N",1
"USTR4265","USTR141","USTR","N",2
"USTR4266","USTR143","USTR","N",1
"USTR4266","USTR143","USTR","N",2
"USTR4294","USTR144","USTR","N",1
"USTR4294","USTR144","USTR","N",2
"USTR4305","USTR146","USTR","N",1
"USTR4305","USTR146","USTR","N",2
"USTR4306","USTR145","USTR","N",1
"USTR4306","USTR145","USTR","N",2
"USTR4327","USTR147","USTR","N",1
"USTR4327","USTR147","USTR","N",2
"USTR4372","USTR159","USTR","N",1
"USTR4372","USTR159","USTR","N",2
"USTR4405","USTR155","USTR","N",1
"USTR4405","USTR155","USTR","N",2
"USTR4408","USTR164","USTR","N",1
"USTR4408","USTR164","USTR","N",2
"USTR4412","USTR161","USTR","N",1
"USTR4412","USTR161","USTR","N",2
"USTR4419","USTR158","USTR","N",1
"USTR4419","USTR158","USTR","N",2
"USTR4429","USTR156","USTR","N",1
"USTR4429","USTR156","USTR","N",2
"USTR4430","USTR157","USTR","N",1
"USTR4430","USTR157","USTR","N",2
"USTR10001","USTR136","USTR","N",1
"USTR10001","USTR136","USTR","N",2
"USTR10002","USTR138","USTR","N",1
"USTR10002","USTR138","USTR","N",2
"USTR10003","USTR154","USTR","N",1
"USTR10003","USTR154","USTR","N",2
"USTR10004","USTR160","USTR","N",1
"USTR10004","USTR160","USTR","N",2
"USTR10005","USTR162","USTR","N",1
"USTR10005","USTR162","USTR","N",2
"USTR10006","USTR163","USTR","N",1
"USTR10006","USTR163","USTR","N",2
"USTR11000","USTR137","USTR","N",1
"USTR11000","USTR137","USTR","N",2
"USTR100960","USTR201","USTR","N",1
"USTR100960","USTR201","USTR","N",2
"USTR107190","USTR287","USTR","N",1
"USTR107190","USTR287","USTR","N",2
